source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
8,R-GS 2162-MR,R-GS 2162-MR,Bidon agente abrillantador MEIKO,3.0,3.0,0.0,3.0,3.0,3.0,665.99,0,665.99,2026-06-06T00:00:00,Vigencia de precio,
9,982-M 4544,982-M 4544,Bidon desincrustante MEIKO,3.0,3.0,0.0,3.0,3.0,3.0,745.91,0,745.91,2026-06-06T00:00:00,Vigencia de precio,
10,D-GS 1152-MT,D-GS 1152-MT,Bidon detergente alcalino MEIKO,3.0,3.0,0.0,3.0,3.0,3.0,568.41,0,568.41,2026-06-06T00:00:00,Vigencia de precio,
15,DB1101A0,DB1101A0,Detergente Rinse Speed,3.0,2.0,0.0,2.0,2.0,2.0,1985.33,0,1985.33,2026-03-24T00:00:00,Act Nov 2025,
21,56.01.535,56.01.535,Pastillas detergentes Active Green 150 Tabs,10.0,10.0,0.0,10.0,8.0,8.0,1999.2,0,1999.2,2026-02-28T00:00:00,Vigencia de precio,
45,EMP-UNI08,EMP-UNI08,Empaque universal dimensiones 95 X 56 cm negro,1.0,1.0,0.0,1.0,1.0,1.0,650.0,0,650.0,,Vigencia de precio,
61,VCRB25-2,VCRB25-2,"Asador a gas de 25"" ME2205256HB, ME2401031HB, ME2401032HB",1.0,1.0,2.0,3.0,3.0,3.0,0,1088.0,0.0,2025-06-25T00:00:00,Act Nov 2025,
73,VCRH12-2,VCRH12-2,"Estufa de mesa para gas 12"" ME2111232HB, ME2111231HB",2.0,0.0,0.0,0.0,0.0,0.0,0,501.0,0.0,2025-06-25T00:00:00,Act Nov 2025,
74,VCRH24-2,VCRH24-2,"Estufa de mesa para gas 24"" ME2401137HB, ME2401138HB",2.0,0.0,0.0,0.0,0.0,0.0,0,927.2,0.0,2024-06-25T00:00:00,Act Nov 2025,
75,EC-2T MASTER PRM,EC-2T MASTER PRM,Estufon a gas de 2 quemadores CORIAT,1.0,1.0,0.0,1.0,1.0,1.0,12714.539999999999,0,12714.539999999999,2026-02-25T00:00:00,Act Feb 2026,
76,EC-1T MASTER PRM,EC-1T MASTER PRM,Estufon sencillo CORIAT,1.0,1.0,0.0,1.0,1.0,1.0,7840.46,0,7840.46,2024-12-27T00:00:00,Act Nov 2025,
88,VCRG24-M2,VCRG24-M2,"Plancha a gas de 24""  ME2310116HB, ME2401055HB, ME2401059HB",1.0,0.0,0.0,0.0,0.0,0.0,0,844.2,17728.2,2024-06-25T00:00:00,Act Nov 2025,
94,VIP14901/3C,VIP14901/3C,Vitrina fria para ingredientes insertos de 1/3 1.5mts INFRICO 3000792670,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2049.75,43044.75,,Act Nov 2025,
98,29120,29120,Cuello adicional FISHHER,1.0,1.0,0.0,1.0,1.0,1.0,1835.74,0,1835.74,,,
109,MCGS18010,MCGS18010,"Mezcladora a cubierta 8"" uso pesado sin cuello CONCASSE",2.0,2.0,0.0,2.0,2.0,2.0,1295.2,0,1295.2,,Vigencia de precio,
131,HG-2E-48,HG-2E-48,"Kit de manguera lisa a gas 1"" x 3/4""",1.0,1.0,0.0,1.0,0.0,0.0,4120.0,0,4120.0,,Act Nov 2025,
141,T3/16,T3/16,T3/16 para piloto,5.0,0.0,0.0,0.0,5.0,5.0,75.0,0,75.0,,Vigencia de precio,
143,VA318M,VA318M,Valvula alta presión maneral mariposa,5.0,0.0,0.0,0.0,5.0,5.0,70.0,0,70.0,2026-05-18T00:00:00,Vigencia de precio,
144,VA318C,VA318C,Valvula alta presión para estufa media caña,5.0,0.0,0.0,0.0,5.0,5.0,70.0,0,70.0,2026-05-18T00:00:00,Vigencia de precio,
162,40393 MARS,40393 MARS,"Aspa de 30"", 4A 5/8, 27 grados CW MARS",1.0,1.0,0.0,1.0,1.0,1.0,4100.0,0,4100.0,,Vigencia de precio,
177,FNM-8,FNM-8,Fusible retardado Bussman 250V 8 A,0.0,2.0,0.0,2.0,2.0,2.0,202.74,0,202.74,2026-04-30T00:00:00,Act Nov 2025,
187,ROJAS-4X11/8,ROJAS-4X11/8,"Rueda loca fijas de 4"" de alto x 1 1/8 de ancho ROJAS",2.0,2.0,0.0,2.0,2.0,2.0,550.0,0,550.0,,Vigencia de precio,
189,GSW-5X11/8,GSW-5X11/8,"Rueda locas fijas de 5"" de alto x 1 1/8 "" de ancho GSW",4.0,4.0,0.0,4.0,4.0,4.0,650.0,0,650.0,,Vigencia de precio,
204,MESA-BATIDORA,MESA-BATIDORA,Mesa para batidora en acero T-304 C-18,1.0,1.0,0.0,1.0,1.0,1.0,6832.88,0,6832.88,,,
224,QTN,QTN,Quemador triple,2.0,0.0,0.0,0.0,2.0,2.0,300.0,0,300.0,,Vigencia de precio,
232,AK000504,AK000504,Piloto para horno CORIAT,4.0,4.0,0.0,4.0,4.0,4.0,343.71,0,343.71,2025-05-07T00:00:00,Vigencia de precio,
264,848244,848244,Control de temperatura con pantalla TRUE,1.0,1.0,0.0,1.0,1.0,1.0,0.0,384.72,8079.120000000001,,Act Nov 2025,
273,4303/2S,4303/2S,"Filtro secador , 032S, 1/4"" ODS, conexiones soldar CASTEL",1.0,1.0,0.0,1.0,1.0,1.0,453.0,0,453.0,,Act Nov 2076,
319,9754869,9754869,Tubo recogida de detergente Meiko,1.0,1.0,0.0,1.0,1.0,1.0,3901.5,0,3901.5,2026-04-02T00:00:00,Vigencia de precio,
398,ICE24,ICE24,Interruptor de purga,4.0,0.0,0.0,0.0,4.0,4.0,272.09,0,272.09,,Vigencia de precio,
399,10510,10510,Interruptor magnetico de cortina  MANITOWOC,2.0,2.0,0.0,2.0,2.0,2.0,650.0,0,650.0,,Vigencia de precio,
413,1767,1767,Valvula de descarga 120 v MANITOWOC 000014062,1.0,0.0,0.0,0.0,0.0,0.0,1797.0,0,1797.0,,Act Nov 2025,
421,BARRIL-1/4,BARRIL-1/4,Barril 1/4,3.0,3.0,0.0,3.0,3.0,3.0,11.12,0,11.12,,,
424,"BP1/4""","BP1/4""",Block piloto 1/4 QUEMAID,10.0,11.0,0.0,11.0,11.0,11.0,44.0,0,44.0,,Act Feb 2026,
425,"BP3/16""","BP3/16""",Block piloto 3/16 QUEMAID,9.0,9.0,0.0,9.0,9.0,9.0,40.0,0,40.0,,Act Feb 2026,
427,56.01.024P,56.01.024P,Bomba de vaciado,2.0,2.0,0.0,2.0,2.0,2.0,688.59,0,688.59,,Vigencia de precio,
437,00-913102-00292,00-913102-00292,Control de encendido por chispa Vulcan,1.0,1.0,0.0,1.0,1.0,1.0,3500.0,0,3500.0,2026-04-13T00:00:00,Act Nov 2025,
447,CBT-322-77,CBT-322-77,"Hoja De Sierra De Cinta, 77"" X 5/8"" X 0,22"", 3 Dientes Por Pulgada TORREY",2.0,2.0,0.0,2.0,2.0,2.0,150.0,0,150.0,,,
449,000-891,000-891,Juego de engranes de transimision VITAMIX,2.0,0.0,0.0,0.0,0.0,0.0,349.33,0,349.33,,,
450,60.70.464,60.70.464,Kit De Conexion para Modelos 61 A 202 RATIONAL,1.0,1.0,0.0,1.0,1.0,1.0,1300.0,0,1300.0,,,
468,PER-100200,PER-100200,Perilla de 100-200 C,3.0,3.0,0.0,3.0,3.0,3.0,148.0,0,148.0,,Act Nov 2025,
493,CMS-3/4,CMS-3/4,Regulador lobo 3/4 0.8m7hr CMS,1.0,1.0,0.0,1.0,1.0,1.0,540.0,0,540.0,,,
494,SENSORJ-CASM,SENSORJ-CASM,Sensor J CASMANK,3.0,3.0,0.0,3.0,3.0,3.0,449.0,0,449.0,,,
497,37439,37439,Tarjeta de control para deshidratador WARING,2.0,2.0,0.0,2.0,2.0,2.0,0.0,35.3,741.3,,Act Nov 2025,
500,9511295,9511295,"Termocople de 60"" para horno",2.0,2.0,0.0,2.0,2.0,2.0,290.0,0,290.0,,,
502,TUERCA-4/8,TUERCA-4/8,Tuerca de 4/8,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,18.0,,,
569,KGN1240A,KGN1240A,Sello de silicona para vidrio,1.0,0.0,0.0,0.0,1.0,1.0,350.0,0,350.0,2026-04-20T00:00:00,Vigencia de precio,
575,PSA1242,PSA1242,Kit de conjunto calentador resistencia MERRYCHEF,1.0,1.0,0.0,1.0,1.0,1.0,8015.0,0,8015.0,,,
578,R02.08.143E.00,R02.08.143E.00,"Resistencia 220 V, 1250 W, GR54 HATCO",2.0,1.0,0.0,1.0,1.0,1.0,1432.32,0,1432.32,,,
579,"RES-12""","RES-12""","Resistencia de 12"" 1/2",2.0,1.0,0.0,1.0,1.0,1.0,330.0,0,330.0,,,
581,FAB-RES115-1500W,FAB-RES115-1500W,Resistencia M 20 cm ancho x 46 cm largo 115V 1500 WATSS,2.0,1.0,0.0,1.0,1.0,1.0,1419.0,0,1419.0,,,
589,TURBINA-5/8,TURBINA-5/8,Turbina jaula de ardilla 25 x 6.5 cm con flecha 5/8 con lam galvanizada con buje,3.0,3.0,0.0,3.0,3.0,3.0,2260.0,0,2260.0,,,
590,TURBINA-5/8IZQ13,TURBINA-5/8IZQ13,Turbina jaula de ardilla de 23 x 13cm con flecha 5/8 lamina galvanizada,1.0,1.0,0.0,1.0,1.0,1.0,2900.0,0,2900.0,,,
591,TURBINA-5/8IZQ4,TURBINA-5/8IZQ4,Turbina jaula de ardilla de 27.5 x 4cm con flecha 5/8 comercial galvanizada rot. Izq,1.0,1.0,0.0,1.0,1.0,1.0,2260.0,0,2260.0,,,
592,TURBINA-5/8IZQ5,TURBINA-5/8IZQ5,Turbina jaula de ardilla de 27.5 x 5cm con flecha 5/8 comercial galvanizada rot. Izq,2.0,2.0,0.0,2.0,2.0,2.0,2260.0,0,2260.0,,,
632,DU85HFA3/4HP,DU85HFA3/4HP,"Motor de extracción 0.750 HP, 1 fase, 115v, 60 Hz, Monofasico",1.0,0.0,0.0,0.0,1.0,1.0,30885.26,0,30885.26,,Act Nov 2025,
